Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Other ID,Integration,Owned By,Owned By,Comment,Comment
135925475,Admin can add new route,,1,12-Dec-16,18-Dec-16,feature,3,accepted,11-Dec-16,13-Dec-16,,yeetc,As a admin i able to add new route into system,https://www.pivotaltracker.com/story/show/135925475,,,yeetc,,"One route can have one or many depature, bus fare and destination
 (yeetc - Dec 11, 2016)",
135762631,Generate payment receipt,,1,12-Dec-16,18-Dec-16,feature,2,accepted,8-Dec-16,13-Dec-16,,Lee Wei Chun,"As a software developer, I have create a receipt for customer who have make payment online so that they can print out the bus ticket as a prove when they take the bus ride.",https://www.pivotaltracker.com/story/show/135762631,,,Lee Wei Chun,,"Easy for customer to get their ticket at anywhere and anytime after they make payment. (Lee Wei Chun - Dec 8, 2016)",
135669951,Make payment via online,,1,12-Dec-16,18-Dec-16,feature,3,accepted,6-Dec-16,13-Dec-16,,Lee Wei Chun,"As a software developer, I have develop the payment module which allow user to make payment after customer have make reservation.",https://www.pivotaltracker.com/story/show/135669951,,,Lee Wei Chun,,"The payment allow customer to pay by using credit card or online bank services. (Lee Wei Chun - Dec 6, 2016)",
136091575,Admin can add a new cutomer,,1,12-Dec-16,18-Dec-16,feature,3,accepted,13-Dec-16,14-Dec-16,,Sin Haur Tan,"As a admin, i can add a new customer details into the system",https://www.pivotaltracker.com/story/show/136091575,,,Sin Haur Tan,,,
135925579,Print Route List,,1,12-Dec-16,18-Dec-16,feature,3,accepted,11-Dec-16,17-Dec-16,,yeetc,As a admin i can check the route and print the route list ,https://www.pivotaltracker.com/story/show/135925579,,,yeetc,,,
135911359,Admin can keep track the bus detail,,1,12-Dec-16,18-Dec-16,feature,2,accepted,11-Dec-16,17-Dec-16,,mikeong,"As a admin, i can keep track the bus detail from the software",https://www.pivotaltracker.com/story/show/135911359,,,mikeong,,,
135594089,User are allow to select their seat using display.,,1,12-Dec-16,18-Dec-16,feature,2,accepted,6-Dec-16,17-Dec-16,,Lee Wei Chun,,https://www.pivotaltracker.com/story/show/135594089,,,Jian Hao,mikeong,,
135911349,Admin can add the new schedule ,,1,12-Dec-16,18-Dec-16,feature,1,accepted,11-Dec-16,17-Dec-16,,mikeong,"As a admin, i can add the new schedule into the software",https://www.pivotaltracker.com/story/show/135911349,,,mikeong,,,
136091661,Admin can add a new staff,,1,12-Dec-16,18-Dec-16,feature,1,accepted,13-Dec-16,17-Dec-16,,Sin Haur Tan,"As a admin, i can add a new staff record into the system.",https://www.pivotaltracker.com/story/show/136091661,,,Sin Haur Tan,,,
135911289,As a user i would like to know the price of the ticket once i choose the time and route.,,1,12-Dec-16,18-Dec-16,feature,2,accepted,11-Dec-16,17-Dec-16,,Jian Hao,,https://www.pivotaltracker.com/story/show/135911289,,,Jian Hao,,,
